"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",48.264248,-13.113205,NA,"Eretmochelys imbricata"
"gbif",125.116666,10.070368,NA,"Eretmochelys imbricata"
"gbif",74.311432,14.133037,NA,"Eretmochelys imbricata"
"gbif",74.212162,14.062446,NA,"Eretmochelys imbricata"
"gbif",-78.948992,8.275688,NA,"Eretmochelys imbricata"
"gbif",99.212215,7.051885,NA,"Eretmochelys imbricata"
"gbif",120.966407,13.772832,NA,"Eretmochelys imbricata"
"gbif",120.888763,13.754325,NA,"Eretmochelys imbricata"
"gbif",-83.822671,8.642438,NA,"Eretmochelys imbricata"
"gbif",9.048832,4.155936,NA,"Eretmochelys imbricata"
"gbif",-155.953831,19.456283,NA,"Eretmochelys imbricata"
"gbif",-96.089566,15.679853,NA,"Eretmochelys imbricata"
"gbif",-83.804207,8.748399,NA,"Eretmochelys imbricata"
"gbif",39.210049,-4.69545,NA,"Eretmochelys imbricata"
"gbif",119.468907,23.477123,NA,"Eretmochelys imbricata"
"gbif",-83.921167,8.651593,NA,"Eretmochelys imbricata"
"gbif",34.975009,25.04025,NA,"Eretmochelys imbricata"
"gbif",72.849809,3.420724,NA,"Eretmochelys imbricata"
"gbif",34.854522,25.019439,NA,"Eretmochelys imbricata"
"gbif",34.95767,25.127731,NA,"Eretmochelys imbricata"
"gbif",34.934667,25.107747,NA,"Eretmochelys imbricata"
"gbif",-166.699143,-15.29368,NA,"Eretmochelys imbricata"
"gbif",73.538973,0.723714,NA,"Eretmochelys imbricata"
"gbif",-62.744272,17.390202,NA,"Eretmochelys imbricata"
"gbif",55.662943,-4.333847,NA,"Eretmochelys imbricata"
"gbif",55.662825,-4.333779,NA,"Eretmochelys imbricata"
"gbif",-83.87048,8.69895,NA,"Eretmochelys imbricata"
"gbif",72.959765,3.67595,NA,"Eretmochelys imbricata"
"gbif",-61.78349,16.17376,21,"Eretmochelys imbricata"
"gbif",55.871316,-4.253091,NA,"Eretmochelys imbricata"
"gbif",-16.617675,13.571869,NA,"Eretmochelys imbricata"
"gbif",34.333196,27.693768,NA,"Eretmochelys imbricata"
"gbif",120.879071,13.448948,NA,"Eretmochelys imbricata"
"gbif",-83.920663,8.737358,NA,"Eretmochelys imbricata"
"gbif",-83.900814,8.658326,NA,"Eretmochelys imbricata"
"gbif",105.875797,-6.181513,NA,"Eretmochelys imbricata"
"gbif",-85.723335,10.436279,NA,"Eretmochelys imbricata"
"gbif",-109.507993,23.445218,NA,"Eretmochelys imbricata"
"gbif",34.609123,25.373454,NA,"Eretmochelys imbricata"
"gbif",-83.326766,8.6707,NA,"Eretmochelys imbricata"
"gbif",152.498353,-32.469105,NA,"Eretmochelys imbricata"
"gbif",134.223056,7.050306,NA,"Eretmochelys imbricata"
"gbif",39.303725,-4.711479,NA,"Eretmochelys imbricata"
"gbif",-85.779876,10.599931,NA,"Eretmochelys imbricata"
"gbif",-85.619369,10.447147,NA,"Eretmochelys imbricata"
"gbif",-85.738537,10.540271,NA,"Eretmochelys imbricata"
"gbif",-85.694203,10.507904,NA,"Eretmochelys imbricata"
"gbif",-85.776656,10.480028,NA,"Eretmochelys imbricata"
"gbif",-85.647662,10.458983,NA,"Eretmochelys imbricata"
"gbif",75.254727,11.917182,NA,"Eretmochelys imbricata"
"gbif",-96.016222,15.679438,NA,"Eretmochelys imbricata"
"gbif",72.119373,-1.313587,NA,"Eretmochelys imbricata"
"gbif",-81.72776,7.523617,NA,"Eretmochelys imbricata"
"gbif",-81.722647,7.716068,NA,"Eretmochelys imbricata"
"gbif",-81.769473,7.719047,NA,"Eretmochelys imbricata"
"gbif",120.844935,13.722955,NA,"Eretmochelys imbricata"
"gbif",134.23144,7.279746,NA,"Eretmochelys imbricata"
"gbif",134.432048,7.318324,NA,"Eretmochelys imbricata"
"gbif",97.992498,9.866599,NA,"Eretmochelys imbricata"
"gbif",134.563808,7.3357,NA,"Eretmochelys imbricata"
"gbif",-61.78197,16.16505,22,"Eretmochelys imbricata"
"gbif",116.039318,-8.251831,NA,"Eretmochelys imbricata"
"gbif",116.178987,-8.265453,NA,"Eretmochelys imbricata"
"gbif",134.371651,7.10299,NA,"Eretmochelys imbricata"
"gbif",-72.2,21.8,NA,"Eretmochelys imbricata"
"gbif",-52.220945,4.851618,NA,"Eretmochelys imbricata"
"gbif",-104.680116,19.263682,NA,"Eretmochelys imbricata"
"gbif",50.754924,26.587868,NA,"Eretmochelys imbricata"
"gbif",39.384432,-4.736569,NA,"Eretmochelys imbricata"
"gbif",22.613695,-34.144034,NA,"Eretmochelys imbricata"
"gbif",169.906244,10.288747,NA,"Eretmochelys imbricata"
"gbif",-83.427106,8.700121,NA,"Eretmochelys imbricata"
"gbif",152.306615,-32.671877,NA,"Eretmochelys imbricata"
"gbif",169.811448,10.342073,NA,"Eretmochelys imbricata"
"gbif",130.417199,-2.333982,NA,"Eretmochelys imbricata"
"gbif",-96.121943,19.154644,NA,"Eretmochelys imbricata"
"gbif",39.645466,-7.869248,NA,"Eretmochelys imbricata"
"gbif",-89.356635,21.367417,NA,"Eretmochelys imbricata"
"gbif",-90.639004,19.627749,NA,"Eretmochelys imbricata"
"gbif",104.090315,2.863575,NA,"Eretmochelys imbricata"
"gbif",127.513443,26.195345,NA,"Eretmochelys imbricata"
"gbif",-80.5,7.5,NA,"Eretmochelys imbricata"
"gbif",158.140267,6.947919,NA,"Eretmochelys imbricata"
